,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
0,,2023,"IOCL-BARAUNI,BIHAR",546.51,
1,,2023,IOCL TOTAL,6037.64,
2,,2023,ONGC TOTAL,1475.55,
3,,2023,RIL TOTAL,5355.74,
4,,2023,"IOCL-MATHURA, UTTAR PRADESH",833.52,
5,,2023,"IOCL-PANIPAT, HARYANA",1263.15,
6,,2023,"IOCL-BONGAIGAON,ASSAM",257.9,
7,,2023,"CPCL-MANALI, TAMILNADU",941.28,
8,,2023,"BPCL-MUMBAI, MAHARASHTRA",1332.15,
9,,2023,"BPCL-KOCHI, KERALA",1464.34,
10,,2023,"NRL-NUMALIGARH, ASSAM",61.3,
11,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1066.12,
12,,2023,"IOCL-HALDIA, WEST BENGAL",691.68,
13,,2023,"IOCL-MATHURA, UTTAR PRADESH",808.16,
14,,2023,"IOCL-BONGAIGAON,ASSAM",251.25,
15,,2023,"CPCL-MANALI, TAMILNADU",816.58,
16,,2023,CPCL-TOTAL,816.58,
17,,2023,"BPCL-KOCHI, KERALA",1467.81,
18,,2023,HPCL-TOTAL,2922.02,
19,,2023,"IOCL-BARAUNI,BIHAR",559.56,
20,,2023,"IOCL-HALDIA, WEST BENGAL",677.19,
21,,2023,"IOCL-PARADIP,ODISHA",1394.49,
22,,2023,"BPCL-KOCHI, KERALA",1389.29,
23,,2023,BPCL-TOTAL,2805.32,
24,,2023,"HPCL-MUMBAI,MAHARASHTRA",892.93,
25,,2023,"IOCL-BARAUNI,BIHAR",590.77,
26,,2023,"IOCL-GUWAHATI,ASSAM",94.25,
27,,2023,"IOCL-BONGAIGAON,ASSAM",254.94,
28,,2023,CPCL-TOTAL,1000.38,
29,,2023,"BPCL-MUMBAI, MAHARASHTRA",1386.54,
30,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.03,
31,,2023,"HPCL-MUMBAI,MAHARASHTRA",785.24,
32,,2023,"NEL-VADINAR,GUJARAT",1727.11,
33,,2023,"IOCL-BARAUNI,BIHAR",529.03,
34,,2023,"IOCL-PANIPAT, HARYANA",1194.47,
35,,2023,"CPCL-MANALI, TAMILNADU",1007.97,
36,,2023,"MRPL-MANGALORE,KARNATAKA",764.9,
37,,2023,GRAND TOTAL,20288.5,
38,,2023,"IOCL-HALDIA, WEST BENGAL",674.35,
39,,2023,"IOCL-BONGAIGAON,ASSAM",257.97,
40,,2023,CPCL-TOTAL,1007.23,
41,,2023,"NRL-NUMALIGARH, ASSAM",285.83,
42,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.81,
43,,2023,ONGC TOTAL,1359.39,
44,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1104.28,
45,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1595.32,
46,,2023,"IOCL-GUWAHATI,ASSAM",33.13,
47,,2023,"NRL-NUMALIGARH, ASSAM",280.22,
48,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.6,
49,,2023,"MRPL-MANGALORE,KARNATAKA",1499.2,
50,,2023,GRAND TOTAL,21668.32,
51,,2023,"IOCL-MATHURA, UTTAR PRADESH",815.41,
52,,2023,HPCL-TOTAL,2860.57,
53,,2024,"IOCL-PARADIP,ODISHA",1363.85,
54,,2024,IOCL TOTAL,6091.56,
55,,2024,"CPCL-MANALI, TAMILNADU",1001.24,
56,,2024,"BPCL-MUMBAI, MAHARASHTRA",1156.9,
57,,2024,"BPCL-KOCHI, KERALA",1588.22,
58,,2024,"NRL-NUMALIGARH, ASSAM",261.67,
59,,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.01,
60,,2024,ONGC TOTAL,1533.49,
61,,2024,"HPCL-MUMBAI,MAHARASHTRA",853.95,
62,,2024,"RIL,JAMNAGAR,GUJARAT",2966.81,
63,,2024,CPCL-TOTAL,1013.93,
64,,2024,"HPCL-MUMBAI,MAHARASHTRA",679.65,
65,,2024,"RIL,JAMNAGAR,GUJARAT",2695.09,
66,,2024,RIL TOTAL,4887.22,
67,,2024,"IOCL-KOYALI, GUJARAT",1370.42,
68,,2024,"BPCL-MUMBAI, MAHARASHTRA",1461.54,
69,,2024,BPCL-TOTAL,3650.05,
70,,2024,"MRPL-MANGALORE,KARNATAKA",1522.17,
71,,2024,HPCL-TOTAL,2970.55,
72,,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2562.42,
73,,2022,"IOCL-GUWAHATI,ASSAM",89.86,
74,,2022,CPCL-TOTAL,904.2,
75,,2022,BPCL-TOTAL,3300.36,
76,,2022,ONGC TOTAL,1487.02,
77,,2022,HPCL-TOTAL,2569.16,
78,,2022,"IOCL-MATHURA, UTTAR PRADESH",812.96,
79,,2022,"IOCL-PANIPAT, HARYANA",1252.5,
