,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
0,,2022,"IOCL-GUWAHATI,ASSAM",89.34,
1,,2022,IOCL TOTAL,5796.21,
2,,2022,"MRPL-MANGALORE,KARNATAKA",1461.6,
3,,2022,"HPCL-VISAKH,ANDHRA PRADESH",801.28,
4,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",978.05,
5,,2022,"NEL-VADINAR,GUJARAT",25.55,
6,,2022,GRAND TOTAL,19580.02,
7,,2022,"IOCL-HALDIA, WEST BENGAL",731.49,
8,,2022,IOCL TOTAL,6161.15,
9,,2022,"BPCL-KOCHI, KERALA",1506.63,
10,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05,
11,,2022,RIL TOTAL,5307.9,
12,,2023,"IOCL-KOYALI, GUJARAT",1259.75,
13,,2023,"IOCL-HALDIA, WEST BENGAL",704.67,
14,,2023,"IOCL-DIGBOI,ASSAM",62.73,
15,,2023,"IOCL-BONGAIGAON,ASSAM",253.07,
16,,2023,"NRL-NUMALIGARH, ASSAM",284.05,
17,,2023,GRAND TOTAL,22809.58,
18,,2023,"IOCL-MATHURA, UTTAR PRADESH",740.61,
19,,2023,"IOCL-PANIPAT, HARYANA",1208.35,
20,,2023,"BPCL-KOCHI, KERALA",1406.51,
21,,2023,"RIL,JAMNAGAR,GUJARAT",2575.91,
22,,2023,"NEL-VADINAR,GUJARAT",1568.22,
23,,2023,"IOCL-BONGAIGAON,ASSAM",257.73,
24,,2023,"BPCL-KOCHI, KERALA",1542.02,
25,,2023,BPCL-TOTAL,3636.0,
26,,2023,"NRL-NUMALIGARH, ASSAM",205.02,
27,,2023,ONGC TOTAL,1507.19,
28,,2023,"HPCL-MUMBAI,MAHARASHTRA",873.83,
29,,2023,"HPCL-VISAKH,ANDHRA PRADESH",874.03,
30,,2021,BORL-BINA,648.0,
31,,2021,"NRL-NUMALIGARH, ASSAM",221.0,
32,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
33,,2021,ONGC TOTAL,1107.0,
34,,2021,"HPCL-MUMBAI,MAHARASHTRA",41.0,
