,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
0,,2021,BORL-BINA,598.0,
1,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
2,,2021,"RIL,JAMNAGAR,GUJARAT",2873.0,
3,,2021,RIL TOTAL,5110.0,
4,,2021,"CPCL-MANALI, TAMILNADU",497.0,
5,,2021,"BPCL-MUMBAI, MAHARASHTRA",957.0,
6,,2021,BORL-BINA,579.0,
7,,2021,"NRL-NUMALIGARH, ASSAM",238.0,
8,,2021,"HPCL-MUMBAI,MAHARASHTRA",411.0,
9,,2021,HPCL-TOTAL,2037.0,
10,,2021,RIL TOTAL,5203.0,
11,,2021,"IOCL-BARAUNI,BIHAR",427.0,
12,,2021,"IOCL-KOYALI, GUJARAT",939.0,
13,,2021,"IOCL-DIGBOI,ASSAM",61.0,
14,,2021,BORL-BINA,658.0,
15,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.0,
16,,2021,"MRPL-MANGALORE,KARNATAKA",1463.0,
17,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113.0,
18,,2021,HPCL-TOTAL,2501.0,
19,,2021,"RIL,JAMNAGAR,GUJARAT",3110.0,
20,,2021,"IOCL-PANIPAT, HARYANA",1340.0,
21,,2021,"IOCL-DIGBOI,ASSAM",61.0,
22,,2021,CPCL-TOTAL,816.0,
23,,2021,"HPCL-MUMBAI,MAHARASHTRA",545.0,
24,,2021,GRAND TOTAL,21483.0,
25,,2021,"IOCL-MATHURA, UTTAR PRADESH",766.0,
26,,2021,BPCL-TOTAL,3321.0,
27,,2021,ONGC TOTAL,1441.0,
28,,2021,"HPCL-VISAKH,ANDHRA PRADESH",809.0,
29,,2021,RIL TOTAL,5529.0,
30,,2022,"IOCL-KOYALI, GUJARAT",1273.0,
31,,2022,"IOCL-HALDIA, WEST BENGAL",301.0,
32,,2022,"CPCL-MANALI, TAMILNADU",915.0,
33,,2022,"BPCL-KOCHI, KERALA",1450.0,
34,,2022,"HPCL-MUMBAI,MAHARASHTRA",852.0,
35,,2022,"RIL,JAMNAGAR,GUJARAT",3042.0,
36,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.0,
37,,2022,"MRPL-MANGALORE,KARNATAKA",1392.0,
38,,2022,ONGC TOTAL,1399.0,
39,,2022,HPCL-TOTAL,2519.0,
40,,2022,"IOCL-MATHURA, UTTAR PRADESH",884.0,
41,,2022,"IOCL-GUWAHATI,ASSAM",93.0,
42,,2022,IOCL TOTAL,6636.0,
43,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.0,
44,,2022,"HPCL-VISAKH,ANDHRA PRADESH",825.0,
45,,2022,HPCL-TOTAL,2628.0,
46,,2020,"IOCL-HALDIA, WEST BENGAL",305.0,
47,,2020,"NRL-NUMALIGARH, ASSAM",170.0,
48,,2020,ONGC TOTAL,673.0,
49,,2020,"IOCL-KOYALI, GUJARAT",769.0,
50,,2020,"IOCL-MATHURA, UTTAR PRADESH",730.0,
51,,2020,"IOCL-BONGAIGAON,ASSAM",196.0,
52,,2020,"CPCL-MANALI, TAMILNADU",441.0,
53,,2020,"IOCL-KOYALI, GUJARAT",1041.0,
54,,2020,"IOCL-DIGBOI,ASSAM",61.0,
55,,2020,"IOCL-BONGAIGAON,ASSAM",193.0,
56,,2020,"IOCL-PARADIP,ODISHA",1227.0,
57,,2020,"BPCL-KOCHI, KERALA",931.0,
58,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
59,,2020,"IOCL-HALDIA, WEST BENGAL",580.0,
60,,2020,"IOCL-BONGAIGAON,ASSAM",222.0,
61,,2020,IOCL TOTAL,5363.0,
62,,2020,"BPCL-MUMBAI, MAHARASHTRA",1097.0,
63,,2020,"NRL-NUMALIGARH, ASSAM",219.0,
64,,2020,"IOCL-PANIPAT, HARYANA",977.0,
65,,2020,"IOCL-BONGAIGAON,ASSAM",206.0,
66,,2020,"IOCL-PARADIP,ODISHA",266.0,
67,,2020,CPCL-TOTAL,562.0,
68,,2020,"NRL-NUMALIGARH, ASSAM",226.0,
69,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
70,,2020,ONGC TOTAL,913.0,
71,,2020,IOCL TOTAL,4657.0,
72,,2020,"BPCL-KOCHI, KERALA",980.0,
73,,2020,BPCL-TOTAL,2577.0,
74,,2020,"HPCL-MUMBAI,MAHARASHTRA",670.0,
75,,2020,"IOCL-BONGAIGAON,ASSAM",222.0,
76,,2020,BORL-BINA,561.0,
77,,2020,HPCL-TOTAL,2327.0,
78,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2441.0,
79,,2020,RIL TOTAL,5464.0,
80,,2020,"IOCL-BONGAIGAON,ASSAM",206.0,
81,,2020,"IOCL-PARADIP,ODISHA",1325.0,
82,,2020,"NRL-NUMALIGARH, ASSAM",230.0,
83,,2020,RIL TOTAL,5482.0,
84,,2020,"IOCL-HALDIA, WEST BENGAL",709.0,
85,,2020,"IOCL-PANIPAT, HARYANA",1359.0,
